Node,Province name,Long,Lat
137,Đồng Nai,10.828101,107.233612
138,Đồng Tháp,10.454692,105.628742
139,Đồng Tháp,10.672501,105.560423
140,Đồng Tháp,10.340579,105.7391188
141,Đồng Tháp,10.035258,105.22925
142,Gia Lai,13.987633,108.022887
143,Gia Lai,13.9567235,108.6424217
144,Gia Lai,13.697173,108.081328
145,Gia Lai,13.802798,107.689189
146,Gia Lai,13.867097,107.989213
147,Gia Lai,13.401121,108.44749
148,Gia Lai,13.9602057,107.8640037
149,Gia Lai,13.998164,108.114059
150,Gia Lai,14.0182101,107.9859538
151,Hà Giang,22.779008,105.011388
152,Hà Giang,22.737649,105.309445
153,Hà Giang,22.413418,104.799956
154,Hà Giang,23.06749,104.997024
155,Hà Giang,22.666607,104.982229
156,Hà Giang,23.117388,105.141426
157,Hà Giang,23.16497,105.408383
158,Hà Giang,23.278012,105.361717
159,Hà Giang,22.743362,104.680073
160,Hà Giang,22.683423,104.462433
161,Hà Giang,22.410122,104.585894
162,Hà Nam,20.534547,105.992874
163,Hà Nam,20.540608,106.064167
164,Hà Nội,21.033031,105.921824
165,Hà Nội,21.027292,105.89289
166,Hà Nội,20.9911018,105.6378618
167,Hà Nội,20.965859,105.779858
168,Hà Nội,20.959395,105.863351
169,Hà Nội,21.046796,105.764045
170,Hà Nội,21.0034893,105.7806329
171,Hà Nội,21.014987,105.8211482
172,Hà Nội,21.161758,105.786986
173,Hà Nội,21.1086539,105.4958104
174,Hà Nội,20.821319,105.883128
175,Hà Nội,20.688987,105.7405323
176,Hà Nội,20.9284637,105.6862409
177,Hà Nội,21.25652,105.839752
178,Hà Nội,21.046909,105.845317
179,Hà Nội,21.000333,105.857992
180,Hà Nội,20.984811,105.811476
181,Hà Nội,21.026998,105.702517
182,Hà Nội,21.036203,105.789542
183,Hà Nội,21.0824849,105.668197
184,Hà Nội,20.850781,105.772119
185,Hà Nội,20.922024,105.8474392
186,Hà Nội,21.0626744,105.5791283
187,Hà Nội,21.016391,105.937097
188,Hà Nội,21.0230404,105.8613266
189,Hà Nội,21.048237,105.794581
190,Hà Nội,20.960171,105.818478
191,Hà Nội,21.173646,105.731464
192,Hà Nội,21.0255467,105.8353575
193,Hà Nội,20.994116,105.82519
194,Hà Nội,21.0040214,105.8677183
195,Hà Tĩnh,18.269639,105.971358
196,Hà Tĩnh,18.063822,106.298801
197,Hà Tĩnh,18.693537,105.778527
198,Hà Tĩnh,18.53686,105.704101
199,Hà Tĩnh,18.207577,105.669873
200,Hà Tĩnh,18.507457,105.420833
201,Hải Dương,20.947488,106.32527
202,Hải Dương,21.159715,106.416105
203,Hải Dương,20.920875,106.504856
204,Hải Dương,20.940887,106.206888
205,Hải Dương,20.789315,106.305586
206,Hải Dương,20.8491535,106.2620558
207,Hải Dương,21.013534,106.531298
208,Hải Phòng,20.865399,106.694997
209,Hải Phòng,20.650139,106.517
210,Hải Phòng,20.862222,106.628472
211,Hải Phòng,20.827789,106.681929
212,Hải Phòng,20.968722,106.6725
213,Hải Phòng,20.790904,106.645461
214,Hậu Giang,9.768789,105.459094
215,Hậu Giang,9.768789,105.459094
216,Hậu Giang,9.9331751,105.7260622
217,Hồ Chí Minh,10.768846,106.60282
218,Hồ Chí Minh,10.940411,106.531469
219,Hồ Chí Minh,10.81631,106.712845
220,Hồ Chí Minh,10.7742403,106.6621743
221,Hồ Chí Minh,10.838687,106.770115
222,Hồ Chí Minh,10.774458,106.768231
223,Hồ Chí Minh,10.841142,106.645845
224,Hồ Chí Minh,10.706134,106.727565
225,Hồ Chí Minh,10.869566,106.645878
226,Hồ Chí Minh,10.7424579,106.636572
227,Hồ Chí Minh,10.795225,106.63707
228,Hồ Chí Minh,10.844444,106.75282
229,Hồ Chí Minh,10.731038,106.654042
230,Hồ Chí Minh,10.780206,106.596238
231,Hồ Chí Minh,10.888738,106.588454
232,Hồ Chí Minh,10.811715,106.6796255
233,Hồ Chí Minh,10.801753,106.562604
234,Hồ Chí Minh,10.75408,106.699356
235,Hồ Chí Minh,10.688334,106.651343
236,Hồ Chí Minh,10.788013,106.645061
237,Hồ Chí Minh,10.643106,106.780891
238,Hồ Chí Minh,10.4094017,106.9651389
239,Hồ Chí Minh,10.8827415,106.6768892
240,Hồ Chí Minh,10.657618,106.728066
241,Hồ Chí Minh,10.84111454,106.652696
242,Hồ Chí Minh,10.811674,106.679766
243,Hồ Chí Minh,10.811674,106.679766
244,Hồ Chí Minh,10.788013,106.645061
245,Hồ Chí Minh,10.830972,106.705464
246,Hòa Bình,20.838065,105.331942
247,Hòa Bình,20.568367,105.721872
248,Hòa Bình,20.582044,105.29005
249,Hòa Bình,20.8573,105.481557
250,Hòa Bình,20.681582,105.075808
251,Hòa Bình,20.909937,105.257642
252,Hưng Yên,20.662918,106.061537
253,Hưng Yên,20.907672,106.020922
254,Hưng Yên,20.933616,106.01919
255,Khánh Hòa,12.262398,109.151152
256,Khánh Hòa,11.917702,109.137453
257,Khánh Hòa,12.262398,109.151152
258,Khánh Hòa,12.700198,109.22873
259,Khánh Hòa,12.472979,109.108725
260,Khánh Hòa,12.308843,108.885387
261,Khánh Hòa,12.050551,109.154918
262,Khánh Hòa,12.014408,108.917308
263,Khánh Hòa,12.2105959,109.18549
264,Khánh Hòa,12.257817,109.052821
265,Kiên Giang,9.9840906,105.1035029
266,Kiên Giang,9.9170636,105.3099686
267,Kiên Giang,9.680177,105.111921
268,Kiên Giang,10.188268,104.92421
269,Kiên Giang,10.38414,104.47504
270,Kiên Giang,10.28285,104.644313
271,Kiên Giang,10.22344,103.97125
272,Kiên Giang,10.2626,104.001361
273,Kiên Giang,9.786356,105.032146
274,Kiên Giang,10.035258,105.22925
275,Kiên Giang,10.2626,104.001361
276,Kon Tum,14.351463,108.019051
277,Kon Tum,14.733079,107.6925933
278,Kon Tum,15.082872,107.73759
279,Kon Tum,14.507073,108.248823
280,Kon Tum,14.404421,107.800704
281,Kon Tum,14.134614,107.463088
282,Kon Tum,14.651255,107.843727
283,Kon Tum,14.792952,107.943467
284,Kon Tum,14.3598662,107.9987641
